,User ID,City,User Longitude,User Latitude,Resturant Name,Resturant Longitude,Resturant Latitude,Categories,Special Diets,Review Score,Comments
0,284,Jeddah,39.320535566811614,21.270008230921576,Khayal Restaurant,39.14106005571364,21.60958323990262,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.6,Wow... Loved this place
1,296,Jeddah,39.32864164926085,21.847543360372335,Al Baik,39.15947334456595,21.595630718372867,"Fast Food,",Non,4.3,Crust is not good.
2,462,Eastern Province,52.59335428387269,23.376201530390684,Taya Restaurant,50.20702596747264,26.2918470910966,"Chinese, Indian, Seafood, Grill, Arabic, Barbecue",Non,2.6,Not tasty and the texture was just nasty.
3,83,Eastern Province,50.072907286880564,19.921673517867248,The Blue Restaurant,50.22054889692208,26.291765783996706,"Seafood, International","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.1,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.
4,448,Jeddah,39.21478993565823,21.15691578806279,Byblos Restaurant,39.12999500974883,21.572715888585268,"Lebanese, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.6,The selection on the menu was great and so were the prices.
5,487,Eastern Province,53.907889678202366,28.1777040597632,Al-Sanbok Restaurant,50.2207337852633,26.27183349049264,"Seafood, International, Mediterranean","Vegetarian Friendly, Vegan Options, Gluten Free Options",2.3,Now I am getting angry.
6,374,Riyadh,46.643908740276714,24.56383088722124,Burj Al Hamam,46.681993386802766,24.667666188182427,"Lebanese, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.3,Honeslty it did not taste THAT fresh.
7,242,Riyadh,46.65916474988354,24.778004364314267,Burj Al Hamam,46.681993386802766,24.667666188182427,"Lebanese, Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",3.9,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.
8,411,Riyadh,46.554291827681126,24.511747869737043,Tokyo,46.68666408923927,24.71826120724121,"Japanese, Sushi, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",4.1,The fries were great too.
9,491,Riyadh,46.76419172687026,24.54137375474361,Lotus,46.72754599759453,24.78465287072049,"Chinese, Japanese, Asian, Thai, Sushi","Vegetarian Friendly, Vegan Options",4.4,A great touch.
10,206,Riyadh,46.695949028843316,24.83935735330516,La Brasserie,46.68410514351399,24.690431294537472,"French, International","Vegetarian Friendly, Vegan Options",4.7,Service was very prompt.
